Date,Temperature,Feel Like Temp,Rain Probability,Wind Speed,spatial_percent_bias,temporal_percent_bias,x_fit_Temperature,spatial_fit_Temperature,temporal_fit_Temperature,x_fit_Feel Like Temp,spatial_fit_Feel Like Temp,temporal_fit_Feel Like Temp,x_fit_Rain Probability,spatial_fit_Rain Probability,temporal_fit_Rain Probability,x_fit_Wind Speed,spatial_fit_Wind Speed,temporal_fit_Wind Speed
2022/6/4,23,29.3,40,2,0.3354,2.3676,22.0,5.051501832949967,4.420426099769976,24.0,3.1418756108521997,2.1719427663115987,0.0,9.98628789604066,12.302336121939547,1.0,11.066974945317165,15.750400079538684
2022/6/13,24,28.4,4,4,20.234,20.357,38.0,14.78987848619896,20.38225209171938,48.0,16.382590074900147,22.35446903129163,100.0,12.627660773837432,17.284853130353362,9.0,10.360543448001591,10.361645893815874
2022/6/19,27,32.5,25,5,0.209,-0.2373,,,,,,,,,,,,
2022/6/24,31,35.9,40,7,11.7828,8.2058,,,,,,,,,,,,
2022/6/25,33,37.6,2,8,-1.1711,1.7714,,,,,,,,,,,,
2022/6/29,34,40.2,0,4,16.2945,15.5075,,,,,,,,,,,,
2022/6/30,35,40.1,55,5,23.884,24.1177,,,,,,,,,,,,
2022/7/2,34,40.3,3,4,7.5654,7.7729,,,,,,,,,,,,
2022/7/18,29,37.0,13,2,2.2019,3.9969,,,,,,,,,,,,
2022/7/23,32,39.4,45,5,19.496,24.0307,,,,,,,,,,,,
2022/7/24,31,36.9,25,4,5.9147,11.5346,,,,,,,,,,,,
2022/7/30,33,40.6,25,3,17.3277,22.501,,,,,,,,,,,,
2022/8/27,33,39.7,40,3,17.0196,26.0769,,,,,,,,,,,,
2023/6/4,25,27.7,1,6,-5.2582,-5.1132,,,,,,,,,,,,
2023/6/7,27,31.5,40,3,6.8154,8.3505,,,,,,,,,,,,
2023/6/13,26,36.7,40,2,27.5754,27.2049,,,,,,,,,,,,
2023/6/28,30,39.4,40,4,10.2983,9.8426,,,,,,,,,,,,
2023/7/2,31,39.3,2,3,-4.445,-1.4006,,,,,,,,,,,,
2023/7/16,35,43.2,2,5,2.7389,6.6165,,,,,,,,,,,,
2023/7/23,33,38.5,1,4,10.5761,14.1625,,,,,,,,,,,,
2023/7/31,35,42.6,2,5,20.7092,24.5963,,,,,,,,,,,,
2023/8/2,34,41.1,25,2,13.5497,19.9252,,,,,,,,,,,,
2023/8/4,35,43.9,40,4,21.5239,27.5679,,,,,,,,,,,,
2023/8/5,36,42.7,25,5,12.7629,17.2413,,,,,,,,,,,,
2023/8/11,31,35.8,86,4,4.6909,11.7242,,,,,,,,,,,,
2023/8/18,33,42.4,7,4,26.2595,26.7764,,,,,,,,,,,,
2023/8/20,33,45.6,25,2,12.2004,17.1228,,,,,,,,,,,,
2023/8/25,32,38.1,7,6,11.1383,13.8601,,,,,,,,,,,,
2023/8/30,33,38.4,11,6,16.0021,17.316,,,,,,,,,,,,
2023/8/31,32,36.8,0,6,9.1437,10.6398,,,,,,,,,,,,
2024/6/7,27,28.7,40,4,11.562,12.5114,,,,,,,,,,,,
2024/6/8,27,32.5,25,2,8.3945,11.4582,,,,,,,,,,,,
2024/6/12,28,32.4,1,4,16.3429,17.7559,,,,,,,,,,,,
2024/6/15,29,33.8,1,4,3.3586,5.1432,,,,,,,,,,,,
2024/6/16,27,31.2,55,3,0.3543,1.4976,,,,,,,,,,,,
2024/6/27,26,31.1,1,3,13.9082,14.9552,,,,,,,,,,,,
2024/7/3,30,35.9,94,2,9.5674,11.2795,,,,,,,,,,,,
2024/7/4,34,40.8,25,3,12.142,15.1187,,,,,,,,,,,,
2024/7/7,33,40.5,66,3,-3.8946,-1.0121,,,,,,,,,,,,
2024/7/23,34,41.6,45,3,12.9525,19.6733,,,,,,,,,,,,
2024/7/24,35,42.0,25,4,18.2645,23.8228,,,,,,,,,,,,
2024/7/29,36,42.3,84,4,20.4347,24.4514,,,,,,,,,,,,
2024/8/1,33,39.8,40,2,17.3215,23.2843,,,,,,,,,,,,
2024/8/4,34,40.4,65,2,10.149,15.4144,,,,,,,,,,,,
2024/8/5,33,40.7,60,3,-5.9976,-1.0848,,,,,,,,,,,,
2024/8/7,32,39.2,98,2,11.8766,16.0728,,,,,,,,,,,,
2024/8/10,34,39.2,40,4,4.9595,11.1823,,,,,,,,,,,,
2024/8/11,35,42.0,1,3,5.7992,12.3975,,,,,,,,,,,,
2024/8/12,35,42.2,58,2,12.7708,18.0287,,,,,,,,,,,,
2024/8/20,32,38.1,86,5,23.4331,27.5042,,,,,,,,,,,,
