Date,Air_Temp_C,Apparent_Temp_C,Rain_Probability_Pct,Wind_Speed,Sun-chaser_sun,Sun-chaser_shade,Shade-chaser_sun,Shade-chaser_shade,x_fit_ApparentTemp,fit_Sun-chaser_sun,fit_Sun-chaser_shade,fit_Shade-chaser_sun,fit_Shade-chaser_shade
2022/6/4,23,29.3000,40,2,0.3333,0.9048,3.0000,1.4444,24.0000,1.8237,0.9296,1.5592,1.5548
2022/6/13,24,28.4000,4,4,2.6667,0.8889,0.6667,0.3333,48.0000,0.6392,1.5117,0.6228,0.8666
2022/6/19,27,32.5000,25,5,7.0000,0.7143,1.0000,0.5556,,,,,
2022/6/24,31,35.9000,40,7,0.6667,0.4444,0.6667,1.2500,,,,,
2022/6/25,33,37.6000,2,8,0.5000,0.3667,1.3333,1.0000,,,,,
2022/6/29,34,40.2000,0,4,0.3333,0.7778,0.5000,0.3333,,,,,
2022/6/30,35,40.1000,55,5,7.3333,0.7500,0.3333,1.1905,,,,,
2022/7/2,34,40.3000,3,4,0.6667,0.7857,2.5000,0.6296,,,,,
2022/7/18,29,37.0000,13,2,0.3333,0.4167,0.5556,1.3333,,,,,
2022/7/23,32,39.4000,45,5,,1.0476,0.5000,0.9524,,,,,
2022/7/24,31,36.9000,25,4,0.3333,2.2500,0.7500,0.9333,,,,,
2022/7/30,33,40.6000,25,3,0.3333,2.3333,0.6667,1.9259,,,,,
2022/8/27,33,39.7000,40,3,0.3333,1.0000,0.4167,2.9167,,,,,
2023/6/4,25,27.7000,1,6,1.3333,0.6944,2.1667,1.5238,,,,,
2023/6/7,27,31.5000,40,3,1.4667,0.5952,0.5000,0.7778,,,,,
2023/6/13,26,36.7000,40,2,,1.2222,0.5000,0.4848,,,,,
2023/6/28,30,39.4000,40,4,,0.5000,,0.3333,,,,,
2023/7/2,31,39.3000,2,3,0.8333,0.9394,1.7778,0.6667,,,,,
2023/7/16,35,43.2000,2,5,0.3333,1.3778,0.4167,0.3333,,,,,
2023/7/23,33,38.5000,1,4,1.6667,0.9167,0.3333,0.6061,,,,,
2023/7/31,35,42.6000,2,5,0.6667,3.0000,3.0833,0.5000,,,,,
2023/8/2,34,41.1000,25,2,0.3333,1.6667,1.3889,0.4667,,,,,
2023/8/4,35,43.9000,40,4,0.8333,0.3333,0.5556,0.5333,,,,,
2023/8/5,36,42.7000,25,5,0.3333,0.5238,1.0417,0.6667,,,,,
2023/8/11,31,35.8000,86,4,6.3333,0.3333,0.5000,,,,,,
2023/8/18,33,42.4000,7,4,1.0000,1.4706,0.5000,0.6000,,,,,
2023/8/20,33,45.6000,25,2,1.4667,2.0667,0.9048,0.7917,,,,,
2023/8/25,32,38.1000,7,6,1.9444,0.7407,0.3333,3.9524,,,,,
2023/8/30,33,38.4000,11,6,0.3333,5.3333,1.1667,1.9167,,,,,
2023/8/31,32,36.8000,0,6,0.4444,1.4762,10.0000,0.6667,,,,,
2024/6/7,27,28.7000,40,4,0.3333,1.0000,0.6667,1.0952,,,,,
2024/6/8,27,32.5000,25,2,1.7222,1.1569,0.3333,0.6364,,,,,
2024/6/12,28,32.4000,1,4,0.3333,4.3333,0.6667,5.5833,,,,,
2024/6/15,29,33.8000,1,4,0.3333,1.1333,2.6667,1.1667,,,,,
2024/6/16,27,31.2000,55,3,0.3333,0.3810,0.3333,0.9524,,,,,
2024/6/27,26,31.1000,1,3,0.3333,1.0833,0.6667,0.3333,,,,,
2024/7/3,30,35.9000,94,2,0.5000,0.8611,0.5000,0.8000,,,,,
2024/7/4,34,40.8000,25,3,0.6667,1.0000,0.3333,0.9333,,,,,
2024/7/7,33,40.5000,66,3,1.0000,1.1000,0.4444,1.3333,,,,,
2024/7/23,34,41.6000,45,3,1.0000,2.6250,0.5000,0.3333,,,,,
2024/7/24,35,42.0000,25,4,0.6667,0.5000,0.8333,0.3333,,,,,
2024/7/29,36,42.3000,84,4,0.6667,0.7083,0.3333,1.1333,,,,,
2024/8/1,33,39.8000,40,2,1.6667,3.5000,0.6667,3.0000,,,,,
2024/8/4,34,40.4000,65,2,0.4444,1.5238,0.3333,1.7778,,,,,
2024/8/5,33,40.7000,60,3,1.0000,0.3333,0.3333,0.8889,,,,,
2024/8/7,32,39.2000,98,2,0.3333,0.5333,0.3333,3.8889,,,,,
2024/8/10,34,39.2000,40,4,0.4444,1.1667,0.4000,0.4444,,,,,
2024/8/11,35,42.0000,1,3,0.6667,1.2222,0.3333,0.3333,,,,,
2024/8/12,35,42.2000,58,2,0.4667,1.0769,0.7778,1.4242,,,,,
2024/8/20,32,38.1000,86,5,0.4444,2.2500,0.3333,0.5556,,,,,
